Id,Camera,framePosition,pos.x,pos.y,camerapos.x,camerapos.y
1,0,323,22.0703,9.23611,835.332,333.333
1,0,325,22.2266,9.375,836.627,333.6
1,0,326,22.3828,9.51389,838.091,333.853
1,0,327,22.3828,9.58333,837.777,333.972
1,0,327,22.3828,9.58333,837.777,333.972
1,0,328,22.5,9.79167,838.405,334.322
1,0,329,22.4609,9.44444,839.24,333.73
1,0,330,22.5781,9.58333,840.26,334.013
1,0,331,22.6172,9.375,841.717,333.728
1,0,332,22.8125,9.72222,842.204,334.337
1,0,333,22.8125,9.72222,842.323,334.326
1,0,334,22.8516,9.72222,843.329,334.301
1,0,336,22.9688,9.65278,845.011,334.257
1,0,337,23.0469,9.65278,845.902,334.345
1,0,338,23.2031,9.79167,847.115,334.515
1,0,339,23.2812,10.1389,846.93,335.128
1,0,339,23.2812,10.1389,846.93,335.128
1,0,340,23.4375,10.4167,847.657,335.6
1,0,341,23.5156,10.3472,848.915,335.508
1,0,342,23.3984,9.79167,849.419,334.673
1,0,343,23.3203,9.375,850.491,333.952
1,0,344,23.4375,9.51389,851.352,334.213
1,0,345,23.4375,9.51389,851.45,334.263
1,0,347,23.2031,8.61111,852.618,332.708
1,0,348,23.4766,9.23611,853.308,333.758
1,0,349,23.75,9.65278,855.115,334.495
1,0,350,23.8281,9.65278,855.777,334.518
1,0,351,23.75,9.51389,855.716,334.292
1,0,351,23.75,9.51389,855.716,334.292
1,0,352,24.1406,10.3472,856.859,335.73
1,0,353,23.9453,9.72222,857.287,334.694
1,0,354,23.9453,9.375,858.506,334.165
1,0,355,23.9844,9.30556,859.352,334.053
1,0,356,23.8672,8.68056,860.607,333.083
1,0,357,23.9453,8.95833,860.595,333.495
1,0,358,23.7109,8.05556,861.559,331.992
1,0,359,23.9062,8.47222,861.959,332.723
1,0,360,24.2578,9.51389,862.144,334.491
1,0,361,24.4531,9.72222,863.578,334.877
1,0,362,24.0234,8.19444,864.657,332.281
1,0,363,24.1016,8.47222,864.59,332.781
1,0,364,24.0625,8.125,865.137,332.257
1,0,365,24.1797,8.47222,865.629,332.826
1,0,366,24.3359,8.75,866.399,333.303
1,0,367,24.1406,7.84722,867.453,331.853
1,0,368,24.4141,8.61111,868.085,333.073
1,0,369,24.4531,8.68056,867.955,333.28
1,0,370,24.4141,8.40278,868.973,332.781
1,0,371,24.4922,8.40278,869.673,332.84
1,0,373,24.8828,9.16667,871.443,334.094
1,0,373,24.8828,9.16667,871.443,334.094
1,0,374,25.0781,9.51389,872.481,334.73
1,0,375,25.0781,9.51389,872.481,334.73
1,0,376,25.0781,9.375,873.239,334.481
1,0,377,25.3125,9.79167,874.687,335.247
1,0,379,25.1562,9.02778,875.846,333.993
1,0,379,25.1562,9.02778,875.846,333.993
1,0,380,25.3906,9.51389,876.796,334.859
1,0,381,25.3906,9.44444,876.71,334.785
1,0,382,25.2734,9.02778,877.224,334.017
1,0,383,25.1953,8.61111,877.656,333.388
1,0,385,25.5078,9.23611,879.687,334.407
1,0,385,25.5078,9.23611,879.687,334.407
1,0,386,25.5469,9.16667,880.017,334.324
1,0,387,25.5078,9.09722,880.106,334.259
